순위,곡,가수
1,겨울잠,아이유(IU)
2,드라마,아이유(IU)
3,Dreams Come True,아이유(IU)
4,ELEVEN,아이유(IU)
5,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",아이유(IU)
6,러브레터,아이유(IU)
7,정거장,아이유(IU)
8,너,아이유(IU)
9,Counting Stars (Feat. Beenzino),아이유(IU)
10,리무진 (Feat. MINO) (Prod. GRAY),아이유(IU)
11,이루리,아이유(IU)
12,취중고백,아이유(IU)
13,눈이 오잖아(Feat.헤이즈),아이유(IU)
14,strawberry moon,아이유(IU)
15,사랑은 늘 도망가,아이유(IU)
16,서랍,아이유(IU)
17,Christmas Tree,아이유(IU)
18,Next Level,아이유(IU)
19,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),아이유(IU)
20,Still I Love You,아이유(IU)
21,불협화음 (Feat. AKMU) (Prod. GRAY),아이유(IU)
22,우리가 헤어져야 했던 이유,아이유(IU)
23,문득,아이유(IU)
24,STAY,아이유(IU)
25,Weekend,아이유(IU)
26,신호등,아이유(IU)
27,낙하 (with 아이유),아이유(IU)
28,매일 크리스마스 (Everyday Christmas),아이유(IU)
29,Savage,아이유(IU)
30,사랑은 말로 표현하는게 아니래요,아이유(IU)
31,Celebrity,아이유(IU)
32,죽을 만큼 아파서 (Feat. JAMIE (제이미)),아이유(IU)
33,다정히 내 이름을 부르면,아이유(IU)
34,이별후회,아이유(IU)
35,라일락,아이유(IU)
36,쉬어 (Feat. MINO) (Prod. GRAY),아이유(IU)
37,Bad Habits,아이유(IU)
38,Butter,아이유(IU)
39,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),아이유(IU)
40,흰눈,아이유(IU)
41,My Universe,아이유(IU)
42,Wake Up (Prod. 코드 쿤스트),아이유(IU)
43,너를 생각해,아이유(IU)
44,OHAYO MY NIGHT,아이유(IU)
45,Bubble Love (Feat. 솔라 of 마마무),아이유(IU)
46,"Peaches (feat. Daniel Caesar, Giveon)",아이유(IU)
47,밤새 서로 미루다,아이유(IU)
48,Shivers,아이유(IU)
49,Permission to Dance,아이유(IU)
50,탕!♡,아이유(IU)
51,Dynamite,아이유(IU)
52,Shark,아이유(IU)
53,선물을 고르며,아이유(IU)
54,SCIENTIST,아이유(IU)
55,Dun Dun Dance,아이유(IU)
56,MONEY,아이유(IU)
57,너는 내 세상이었어,아이유(IU)
58,Tiny Riot,아이유(IU)
59,"묘해, 너와",아이유(IU)
60,별빛 같은 나의 사랑아,아이유(IU)
61,낮 밤 (feat. 박재범),아이유(IU)
62,Blueming,아이유(IU)
63,어제 너는 나를 버렸어,아이유(IU)
64,Black Mamba,아이유(IU)
65,Snowman,아이유(IU)
66,Off My Face,아이유(IU)
67,Santa Tell Me,아이유(IU)
68,너의 모든 순간,아이유(IU)
69,바라만 본다,아이유(IU)
70,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",아이유(IU)
71,Queendom,아이유(IU)
72,헤픈 우연,아이유(IU)
73,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",아이유(IU)
74,고백,아이유(IU)
75,DUMB DUMB,아이유(IU)
76,나 그댈위해 시 한편을 쓰겠어,아이유(IU)
77,"모든 날, 모든 순간 (Every day, Every Moment)",아이유(IU)
78,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),아이유(IU)
79,All I Want for Christmas Is You,아이유(IU)
80,비와 당신,아이유(IU)
81,Cold Blooded,아이유(IU)
82,별의 조각,아이유(IU)
83,그 여자,아이유(IU)
84,나비효과,아이유(IU)
85,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,아이유(IU)
86,첫눈처럼 너에게 가겠다,아이유(IU)
87,Killing Me,아이유(IU)
88,TROUBLE (Prod. Slom),아이유(IU)
89,어푸 (Ah puh),아이유(IU)
90,I Feel It Coming (feat. Daft Punk),아이유(IU)
91,시작,아이유(IU)
92,Timeless,아이유(IU)
93,I'm a 빛,아이유(IU)
94,Easy On Me,아이유(IU)
95,오르트구름,아이유(IU)
96,parachute,아이유(IU)
97,희재,아이유(IU)
98,미리 메리 크리스마스 (feat. 천둥 Of MBLAQ),아이유(IU)
99,다음 겨울에도 여기서 만나,아이유(IU)
100,고백,아이유(IU)
